	final_prompt
12	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Although Darwin had the last 22 years of life in the hands of periodic disease care, this did not prevent him from continuing his work.
English human reference: Although Darwin suffered from periodic diseases for the last 22 years of his life , this did not prevent him from continuing his work .

Score: [/INST]"
13	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: They generally experienced terrible living conditions.
English human reference: The deported generally experienced terrible living conditions .

Score: [/INST]"
14	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The elections were won by the opposition Australian Labour Party.
English human reference: The election was won by the opposition Australian Labour Party .

Score: [/INST]"
15	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Arab League officially completed its observation mission in Syria.
English human reference: The Arab League officially completed its observation mission in Syria .

Score: [/INST]"
16	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One of the most original symbols of the architectural architecture of Minos is its unique pillars.
English human reference: One of the most original symbols of the architecture of the Minoan culture is its unique pillars .

Score: [/INST]"
17	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: He asked the Montréal journalist Michael Woloschuk to get clarity in his life.
English human reference: He hired a Montréal journalist Michael Woloschuk to get clarity about his father 's life .

Score: [/INST]"
18	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Normal science in general is keeping the philosophy away, and rightly so.
English human reference: Normal science in general is keeping a distance from philosophy , and probably rightly so .

Score: [/INST]"
19	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One day, she will be asked to allow her to receive customers in the New Year.
English human reference: Ülu asks Annemai for a permission to receive customers at Uuevariku .

Score: [/INST]"
20	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ludwig Wittgenstein's followers tend to believe that this is the way people learn.
English human reference: Ludwig Wittgenstein 's followers tend to believe that this is the way people learn .

Score: [/INST]"
21	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The government forces rejected the rebels, and the rebel positions outside the city were also given around 30 dinner.
English human reference: Government forces repulsed the rebels , and rebel positions outside the city were given about 30 air strikes .

Score: [/INST]"
22	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Margna wants to marry her wife and brings Marek's trip to Morocco to life.
English human reference: Margna wants to get married to his girlfriend and gifts Mare a trip to Morocco .

Score: [/INST]"
23	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: And, as Wittgenstein says, this feeling does not mean that the truth is something else.
English human reference: And , as Wittgenstein says , this impulse does not mean that something else is true .

Score: [/INST]"
24	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is not just self-determination, it is not a considered capacity for action, it is not a self-determination, it is not a self-defeating act.
English human reference: It is not just self-determination , the capacity for considered action nor the ability to act based on reasons given to oneself .

Score: [/INST]"
25	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It seems that this consideration has a special force in the case of Jim.
English human reference: It seems that this consideration has a special weight in Jim 's case .

Score: [/INST]"
26	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It tested, among other things, coal, sails, bricks and sales.
English human reference: He experimented , among other things , with coal , sawdust , brick rubble and mortar .

Score: [/INST]"
27	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Chile, a state of emergency was declared as a result of the forest fires and thousands of people were evacuated from their homes.
English human reference: In Chile , a state of emergency was declared as a result of the forest fires and thousands of people were evacuated from their homes .

Score: [/INST]"
28	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Its main rival, Nicia, stayed out of the shapes of mongos and gained strength on the Balkans peninsula.
English human reference: Its main rival , Nicea , was not affected by the Mongol incursions and gained strength on the Balkan peninsula .

Score: [/INST]"
29	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Image was a hospitality medicine because of the dependence of steroids.
English human reference: Joonatan was on abstinence therapy because of the dependence on steroids .

Score: [/INST]"
30	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There is also poaching, including the killing of rare animals for feed or the sale of ski.
English human reference: There is also poaching , including the killing of rare animals for food or for sale as souvenirs .

Score: [/INST]"
31	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One in three of these walls may include urban areas.
English human reference: The walls of one of the three may contain stronghold foundations .

Score: [/INST]"
32	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Ukraine, General Liralpolkovnik Grigori Pedtshenko, the Chief of General Assistance for Defence Forces, announced his resignation.
English human reference: In Ukraine , Admiral General Grigori Pedtshenko , Chief of the General Staff of the Defence Forces , announced his resignation .

Score: [/INST]"
33	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The client is a background condition that makes a favourable reason stronger than it would otherwise be.
English human reference: The amplifier is a background condition that makes a favourable reason stronger than it would otherwise be .

Score: [/INST]"
34	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: So it is doubtful whether you can talk meaningfully about E activities.
English human reference: So it is doubtful whether you can talk meaningfully about E 's activities .

Score: [/INST]"
35	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: All tales of clean gold are weighed below 100 000 kg.
English human reference: All solid balls of pure gold weigh under 100 000 kg .

Score: [/INST]"
36	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Of the last five, Euwe lost four, only one was able to fuss.
English human reference: Of the last five games , Euwe lost four , and was only able to tie one .

Score: [/INST]"
37	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: On the same day, 47th embryonic element I. pataljon was also thrown out in an old calibre from the ground and put on the front in crisis.
English human reference: On the same day , the 1st Battalion of the 47th Regiment , which had been upgraded , was withdrawn from the old cemetery of Vaivara and sent to Krivasoo .

Score: [/INST]"
38	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The decision to use certain apparatus in a certain way involves a premise that limits the possible circumstances.
English human reference: The decision to use certain apparatus in a certain way involves a premise that limits the possible circumstances .

Score: [/INST]"
39	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The West was attacked by the three consecutive armies of Metseo and Lēdurga.
English human reference: The Läänemaa people attacked by the Livonians of Metsepole and Lēdurga with three successive armies .

Score: [/INST]"
40	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: From the point of view of the reorganisation of the offence, it does not matter what purpose it has been forbidden to produce, store or make available material.
English human reference: From the point of view of the realisation of the necessary elements of an offence , it does not matter for what purpose the material with prohibited content was produced , stored or made available .

Score: [/INST]"
41	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It should be noted as an honour that it was this image of human nature that inspired political liberalism.
English human reference: It should be noted in its honour that it was this image of human nature that inspired political liberalism .

Score: [/INST]"
42	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: He is fighting for what he already believes in and attacking the fact that he is not undermining this power within the community.
English human reference: He is fighting for what he already believes in and attacking the opponent , so that he is not undermining its power within the community .

Score: [/INST]"
43	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It has been assumed that it was intended to demonstrate its political interest in the region and to attack the banditry forces.
English human reference: It has been assumed that they intended to demonstrate their political interest in the region and to attack the forces from Riga .

Score: [/INST]"
44	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Bulgaria held early parliamentary elections.
English human reference: Bulgaria held early parliamentary elections .

Score: [/INST]"
45	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Emmodus, like emotion itself, are ultimately political and important in terms of our sense of power.
English human reference: Theories of emotion , like emotions themselves , are ultimately political and important in terms of our sense of power .

Score: [/INST]"
46	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Police weapons were seized and three persons belonging to the police command were arrested, suspected in cooperation with the drug mafia.
English human reference: Police weapons were seized and three persons belonging to the police command were arrested under the suspicion of cooperation with the drug mafia .

Score: [/INST]"
47	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: However, after being wounded by Juriado, the Grenadernem was withdrawn and the positions remained with the Russians.
English human reference: However , after Jüriado was wounded , they retreated to the Grenadier Hill and the positions remained with the Russians .

Score: [/INST]"
48	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The new theory can simply link old theories without changing them, such as energy ice theory.
English human reference: A new theory can simply link old theories without changing them , such as energy persistence theory .

Score: [/INST]"
49	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the same way, we know how, in the political sphere, extremist anarchy and despotism lead to the ordinary one.
English human reference: In the same way , we know how , in the political sphere , extremist anarchy and despotism ordinarily lead to each other .

Score: [/INST]"
50	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The remaining brothers came together for the first time since 1989 in a session to list a batch of background.
English human reference: The remaining brothers came together in a studio for the first time since 1989 to record backing vocals .

Score: [/INST]"
51	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Since 2013, Andres Rundu, the Estonian Ambassador, Portugal.
English human reference: Since 2013 , Andres Rundu is the Estonian Ambassador to Portugal .

Score: [/INST]"
52	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Royal Military College is preparing a land-force officer.
English human reference: The Royal Military College prepares the Army officers .

Score: [/INST]"
53	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The number of people who are usually the most vulnerable is cared for.
English human reference: Love for people is usually cared for the most .

Score: [/INST]"
54	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The head of city has been appointed deputy director of the aid city at Rafah Amos.
English human reference: Rafael Amos , Vice Mayor , was appointed as the Acting Mayor .

Score: [/INST]"
55	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Firstly, the benefit of one individual is of no greater importance than that of another, and the aim must be the benefit in general.
English human reference: Firstly , the good of one individual is of no greater importance than that of another , and the aim must be the good in general .

Score: [/INST]"
56	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It is tempting to say that they did not know the alternatives and considered their social order to be inevitable.
English human reference: It is tempting to say that they did not know the alternatives and considered their social order to be inevitable .

Score: [/INST]"
57	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One male people has arrived in Moravia seeking Alma.
English human reference: A man has come to Morna seeking Alma .

Score: [/INST]"
58	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Perhaps one can agree that if there is a choice between two good alternatives, each option can be justified and reasonable.
English human reference: Perhaps one can agree that if there is a choice between two good alternatives , each option can be justified and reasonable .

Score: [/INST]"
59	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The resignation of Slipperi further weakened the position of Prime Minister Julia Glarard's minority government.
English human reference: The resignation of Slipper further weakened the position of Prime Minister Julia Gillard 's minority government .

Score: [/INST]"
60	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the past, several Gulf states were recognised by the coalition as the representative of Syria's highest power.
English human reference: In the past , several Gulf states had recognised the coalition as representing Syria 's highest power .

Score: [/INST]"
61	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the context of climate tolerance, retrographical movements explained somewhat ad hoc, adding special episodes.
English human reference: Ptolemy used a somewhat ad hoc explanation for retrograde movements , by adding special epicycles .

Score: [/INST]"
62	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: However, the indecision of Mikhail Asen allowed Nicaragua to win back all its lost territory, with the exception of Tsepina.
English human reference: However , the indecision of Mikhail Asen I allowed Nicea to win back all its lost territory , with the exception of Tsepina .

Score: [/INST]"
63	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Historical conception is closer to the perception of reality than natural science.
English human reference: Historical formation of concepts is closer to the depiction of reality than that of natural science .

Score: [/INST]"
64	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Such characteristics were tooth and snowless, for example.
English human reference: Such characteristics were , for example , teeth and a bony tail .

Score: [/INST]"
65	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The language narrowly escaped a life; the black hole, including the crown and the cross, fell into the hands of the victorious Bulgarians.
English human reference: The Emperor narrowly escaped with his life ; the Imperial treasury chest , including the crown and the cross , fell into the hands of the victorious Bulgarians .

Score: [/INST]"
66	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Every tribal head had to charge a tax on his tribal members.
English human reference: Every tribal chief had to charge a tax on his tribal members .

Score: [/INST]"
67	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In Harare and Anastasios V. Haris, these symbols have been given a completely different explanation.
English human reference: Haralampos V. Harissis and Anastasios V. Harissis have proposed a completely different explanation for these symbols .

Score: [/INST]"
68	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In the 19th century, the physiologists very much opposed Mr von Helmholtz's idea that physical tests could shed light on their area.
English human reference: In the 19th century , the physiologists very much opposed to Hermann von Helmholtz 's idea that physical experiments could shed light on their discipline .

Score: [/INST]"
69	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The British Foreign Minister, William Hague, visited Somalia as the first British Minister for Foreign Affairs after a 20-year break.
English human reference: The British Foreign Minister , William Hague , visited Somalia as the first British Minister for Foreign Affairs after a 20-year break .

Score: [/INST]"
70	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The negotiations with Botvinia and Kenya on the World Cup are ongoing.
English human reference: Alekhin 's negotiations with Botvinnik and Keres about the world championship matches are disrupted .

Score: [/INST]"
71	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Estonian to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The difference between this kind of thing and its internal way of doing it is a fashionable difference.
English human reference: The difference between this kind of thing and its internal way of doing it is a modal difference .

Score: [/INST]"
