	final_prompt
27	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Also she ordered lai to finish the investigation and save Li Den's life.
English human reference: So she ordered Lai to end the investigation and there by saved Li Den 's life .

Score: [/INST]"
28	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Although an economic crisis could emerge with problematic political conditions, the panths did not definitely escape from their chronic leadership.
English human reference: While an economic crisis can create problematic political situations , a situation in which the classes lose their traditional leadership does not inevitably arise .

Score: [/INST]"
29	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The furnished daily was distributed to passenger yachts in the city.
English human reference: The prepared alms were distributed to the poor beggars in the city .

Score: [/INST]"
30	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The eggs that have been laid on a fertile mud floor are deposited except for the oldest existence.
English human reference: When sown in fertile mud , the eggs hatch and the plant emerges and leaves its oldest existence .

Score: [/INST]"
31	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: And while making commercial contact with western nations, his idea that western technology should also be acquired.
English human reference: He was of the opinion that while establishing trade relations with Western nations , Western technology should also be acquired .

Score: [/INST]"
32	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Even the horse species that spread in the cenozoic have been tracked and hunted by these, they are capable of hunting.
English human reference: This has enabled them to chase and hunt even the most endangered horse species in the Cenozoic .

Score: [/INST]"
33	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Also in the year 2006, Deustche Bank circulated the wreckage of the wreckage of the wreckage of the wreckage and found parts of the bone.
English human reference: Also , skeletal remains were found during the demolition of the Deustche Bank premises in 2006 .

Score: [/INST]"
34	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Li and wu have been involved since the season where taishong lived.
English human reference: There has been a relationship between Li and Wu since the time Taizhong lived .

Score: [/INST]"
35	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The damage to compensation for the parties that had broken the treaty.
English human reference: Damage to be paid to the party who breached the agreement .

Score: [/INST]"
36	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: There is also a price decision in the market competition in the last 05 years.
English human reference: Also , in the face of market competition , pricing has taken place over the past five years .

Score: [/INST]"
37	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: As these writers and Royal Secretaries, there was great demand for science.
English human reference: Scholars were in great demand as writers and royal secretaries at this time .

Score: [/INST]"
38	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In 2010, Tutankhamun's DNA test was ignored by the opinion of marfan relief.
English human reference: With Tutankhamun 's DNA test in 2010 , the notion of morphine syndrome was ignored .

Score: [/INST]"
39	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Here the location of these can be seen as a keriatic saddle of the heart.
English human reference: The location of these can be seen as a coronary artery on the surface of the heart .

Score: [/INST]"
40	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: 111, Muslim, Jewish people under control generally experienced tolerance and unification, 112 but like its almohad's suffrage, sitting mud.
English human reference: 111 , Muslim , Jewish people generally experienced tolerance and solidarity under rule , 112 but its Almohad persecution-like violence , occasionally suppressed .

Score: [/INST]"
41	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Meanwhile, nematoda worms, drosophila fruit flies, dies, sheep and monkeys were included.
English human reference: These included nematode worms , Drosophila fruit flies , mice , sheep , and monkeys .

Score: [/INST]"
42	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Mr. Flagari joined with the massive task of producing four ships of the new fleet that they had handed over to the two.
English human reference: Together with Mr. Flagari , the two embarked on a massive mission to build four new-style ships .

Score: [/INST]"
43	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to amarna, there is no evidence of king tutankhaton of the city.
English human reference: Accordingly , there is little evidence of King Tutankhamun in the city of Amarna .

Score: [/INST]"
44	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The signal to the luxury, or knowing the luxury, provides the saddle tolerance or the date.
English human reference: The sign of happiness , the mind or knowledge of happiness , brings happiness as happiness and provides tolerance or vision .

Score: [/INST]"
45	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Especially in the introduction to the new product market, this development and research is evolutionary.
English human reference: This development and research is paramount , especially when introducing new products to the market .

Score: [/INST]"
46	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: With that perception, the Indian encounters all creatures who are saddened and will not be spreading the dominant method.
English human reference: With that realization , tame the senses and spread good will of let no living beings suffer and will be freed from sorrow and attain Nibbana .

Score: [/INST]"
47	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: When the unconscious dead descends into a mouse and adopts a trash, the firm causes the sadness.
English human reference: All six institutes feel sadness when a body is formed through entering into a womb filled with feces and excrement .

Score: [/INST]"
48	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The paintings of the thracians found new dimensions in the painting scheme, instead of the colored cathedral, the oldest cathedral fully painted. The paintings are found in his era.
English human reference: Thutmose 's painters discovered new dimensions of painting , and the oldest tombs painted entirely in his time are found in place of the colorful carvings .

Score: [/INST]"
49	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This factor causes the boy to perceive his eidepus complex.
English human reference: This factor causes the boy to perceive his eidepus complex .

Score: [/INST]"
50	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Due to their curriculum market institutions, price decision making makes price decision with some mutual nuclear employment.
English human reference: Because they are oligarchy market institutions , pricing is done by some mutual relation .

Score: [/INST]"
51	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: While the aircraft are hijacked, some passengers and airline employees are able to receive calls from air telephones and private telephones.
English human reference: During the hijacking , some passengers and flight attendants were able to receive calls by airline and personal phones .

Score: [/INST]"
52	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This is on the border between the southern karma lower karma and the southern karma cosica.
English human reference: This is located at the boundary between the right atrium and the left ventricle in the lower atrium of the right atrium .

Score: [/INST]"
53	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: This causes polar bears to be unable to survive the heat of their bodies and they can be killed.
English human reference: As a result , polar bears are unable to maintain their body temperature and may die .

Score: [/INST]"
54	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Some individuals are the companies that started the insurance company money only.
English human reference: Some people are companies that started insurance companies just to make money .

Score: [/INST]"
55	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Is there bhakti poetry in the romantic language, which is not as original as Sanskrit poetry.
English human reference: Although there are devotional poems written in the vernacular , it is not as prominent as the Sanskrit devotional poems .

Score: [/INST]"
56	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A Liao Ceng claimed that their army was made up of 800,000 soldiers.
English human reference: A Liao general said their army was made up of 800,000 soldiers .

Score: [/INST]"
57	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But when the ladder was standing on a mountain, another God would not stand there and would be modified exceptions.
English human reference: But there are also illustrations of another god not standing on a mountain while Inanna was standing .

Score: [/INST]"
58	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But no one else presented heyne in the final year of 1755, when he took command of the Virginia Militia Army.
English human reference: But since no one else came forward , in late 1755 he accepted the appointment of commander of the Virginia Militia .

Score: [/INST]"
59	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: So the fragmented elegy can be considered a poetic passage, a synthesis composed of fragments.
English human reference: Therefore , the beauty of the Buddha can be considered as a work that combines poetry and Buddhism .

Score: [/INST]"
60	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Many subway stations except the damaged railway stations that started their own activities the next day were regularly stopped in passenger houses.
English human reference: Passengers stopped at their homes the next day , as most subway stations , except for the damaged ones , resumed their normal operations .

Score: [/INST]"
61	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Basilius III of Bulgaria and Armenia were again overthrown and culture and trade was prosperous.
English human reference: Basilius II defeated Bulgaria and Armenia again , and culture and trade flourished .

Score: [/INST]"
62	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The species that carry plants infecting viruses are considered carriers.
English human reference: Organisms that carry viruses that infect plants are considered carriers .

Score: [/INST]"
63	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Dale Russell is the name given to the stratigraphic animal that he created himself, a dinosaurid.
English human reference: The dinosaur is the name Dale Russell gave to the model animal he created .

Score: [/INST]"
64	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The place is still a place of amazing miracles.
English human reference: That place is still a place of amazing miraculous power .

Score: [/INST]"
65	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Ursus arctos specifically descended from ursus maritimus tyrannus who was subsequently worried during the Pleistocene era.
English human reference: Ursus maritimus tyrannus , a subspecies of Ursus arctos , became extinct during the Pleistocene era .

Score: [/INST]"
66	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: None of the officials after this event were said to have criticized the empire.
English human reference: It is said that no official was tempted to criticize the emperor after this incident .

Score: [/INST]"
67	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: After the war, Germany's acquisition of the Soviet Union wars against Germany when the Soviet Union came to an effect.
English human reference: They agreed on the acquisition of post-war Germany and when the Soviet Union would go to war against Germany .

Score: [/INST]"
68	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The oil of the polar bears is used as a feeding and fuel in the home.
English human reference: Polar bear oil is also used in cooking and at home as a fuel .

Score: [/INST]"
69	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: One in Yorkshire and one in selioux in Birmingham.
English human reference: One in Yorkshire and one in Celiork , Birmingham .

Score: [/INST]"
70	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The Original Archaic teeth of the upper jaw, including the subcutaneous charcoal teeth, have two original teeth.
English human reference: Two premolars in the upper jaw and molars in the lower jaw has two tooth roots .

Score: [/INST]"
71	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In later cases, only bacteria can be effective in antibiotics, including case internal organs, can invade.
English human reference: In later cases , the bacteria can invade the internal organs , in which case only antibiotics can be effective .

Score: [/INST]"
72	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: From then on, canneries across the United States began to dig well into the oil.
English human reference: From then on , miners all over America began to dig wells in search of oil .

Score: [/INST]"
73	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Let's consider the use of RAM without further descriptions.
English human reference: Let 's consider the use of RAM without further descriptions .

Score: [/INST]"
74	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The body of animals has multiple wools to adapt to harsh winter.
English human reference: The body of animals have abundant amounts of fur to adapt to harsh winter .

Score: [/INST]"
75	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: So add with the name of the nobility and mention this.
English human reference: Therefore , they add this to the name of the Prophet and mention it .

Score: [/INST]"
76	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: It was false at the special forces combat training school on July 18, 1996.
English human reference: That was on July 18 , 1996 at the Maduruoya Special Forces Combat Training School

Score: [/INST]"
77	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: He has a lot of sons with one name and was heard by me.
English human reference: I asked him if he had many sons with the same name .

Score: [/INST]"
78	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Once Huan and zhong jing did not oppose the chang brothers, the emperor entrusted zhong to investigate this.
English human reference: After Huan and Song Jing made various accusations against the Chang brothers , the empress commissioned Song to investigate .

Score: [/INST]"
79	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The absolute naturalization caused by the gambian rebellion from 1340.
English human reference: The villagers revolted due to the constant natural disasters that occurred in 1340 onwards .

Score: [/INST]"
80	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Meanwhile, the museum collection holds a brilliant number of manuscripts.
English human reference: There is also an excellent casket in the museum collection .

Score: [/INST]"
81	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Police arrested four others on 9 May 2007.
English human reference: On May 9 , 2007 , police arrested four more people .

Score: [/INST]"
82	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: She informed him that the king of her husband, the native had died.
English human reference: She informed him that her husband , King , Nibhuriya was dead .

Score: [/INST]"
83	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In August 1418, two months before the abdication of tejong's throne, the great siege came to the throne.
English human reference: In August 1418 , two months before leaving Tejong 's throne , Sejong the Great ascended the throne .

Score: [/INST]"
84	"<s>[INST]Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to his idea that all the arms in the universe are immune from the physical matter we know.
English human reference: Accordingly , he believed that everything in the universe was made of the physical matter we know .

Score: [/INST]"
